nº de grabación,especie,título,instrumentos,lugar de grabación,localidad,fecha,frecuencia_hz,enf,presence_index
763,Polca,,Acordeón,Asilo de ancianos,Paysandú,1954-04-03,464.6,52.033,4.942
764,Ranchera,,Acordeón,Asilo de ancianos,Paysandú,1954-04-03,464.34,51.5,9.266
765,Mazurca,,Acordeón,Asilo de ancianos,Paysandú,1954-04-03,457.41,51.0,9.246
766,Chotis,,Acordeón,Asilo de ancianos,Paysandú,1954-04-03,456.89,50.833,9.934
767,Milonga,,Acordeón,Asilo de ancianos,Paysandú,1954-04-03,453.21,50.733,10.57
768,Pericón,,Acordeón,Asilo de ancianos,Paysandú,1954-04-03,452.42,50.367,10.968
769,Vals,,Acordeón,Asilo de ancianos,Paysandú,1954-04-03,449.3,50.333,11.871
770,Jota,,Acordeón,Asilo de ancianos,Paysandú,1954-04-03,449.56,50.0,11.188
771,Estilo,,Acordeón,Asilo de ancianos,Paysandú,1954-04-03,447.74,50.033,11.318
772,Vidalita,,Acordeón,Asilo de ancianos,Paysandú,1954-04-03,445.93,50.0,5.887
773,Milonga,,Guitarra,Asilo de ancianos,Paysandú,1954-04-03,442.34,50.033,35.854
774,Chotis,,Guitarra,Asilo de ancianos,Paysandú,1954-04-03,442.6,49.933,34.952
775,Polca,,Guitarra,Asilo de ancianos,Paysandú,1954-04-03,441.83,49.8,33.634
776,Estilo,,Guitarra,Asilo de ancianos,Paysandú,1954-04-03,441.32,49.667,43.566
777,Milonga,"""La doma""",Canto,"Coral ""Amigos del Arte""",Paysandú,1954-04-03,443.62,49.567,24.996
778,Canción,"""Saludo a Paysandú""","Canto, Guitarra","Coral ""Amigos del Arte""",Paysandú,1954-04-03,443.62,49.433,13.717
779,Estilo,,"Canto, Guitarra","Coral ""Amigos del Arte""",Paysandú,1954-04-03,441.83,49.367,29.205
780,Habanera,"""Adiós para siempre""","Canto, Guitarra","Coral ""Amigos del Arte""",Paysandú,1954-04-03,442.85,49.4,18.198
781,Milonga,"""Lo que es la pobreza""","Canto, Guitarra","Coral ""Amigos del Arte""",Paysandú,1954-04-03,440.3,49.367,18.06
782,Compuesto de aparicio y muniz,"""Lo que es la pobreza""","Canto, Guitarra","en la coral ""Amigos del Arte""",Paysandú,1954-04-03,441.07,49.233,18.039
783,Canción criolla,"""La estancia embrujada""","Canto, Guitarra","en la coral ""Amigos del Arte""",Paysandú,1954-04-03,438.27,49.0,18.241
784,Milonga,,"Canto, Guitarra","en la coral ""Amigos del Arte""",Paysandú,1954-04-03,437.26,49.1,16.736
785,Vals serenata,,"Canto, Guitarra","en la coral ""Amigos del Arte""",Paysandú,1954-04-03,438.53,48.933,10.44
786,Zamba,,"Canto, Guitarra","en la coral ""Amigos del Arte""",Paysandú,1954-04-03,441.83,48.933,17.638
787,Milonga,,"Canto, Guitarra","en la coral ""Amigos del Arte""",Paysandú,1954-04-03,441.58,48.933,20.333
788,Milonga,,"Canto, Guitarra","en la coral ""Amigos del Arte""",Paysandú,1954-04-03,440.81,48.933,9.273
790,Zamba con vidalita,,Guitarra,"en la coral ""Amigos del Arte""",Paysandú,1954-04-03,439.03,48.867,24.706
791,Milonga,"""Filosófica""","Canto, Guitarra","en la coral ""Amigos del Arte""",Paysandú,1954-04-03,439.03,48.8,19.005
792,Milonga,,"Canto, Guitarra","en la coral ""Amigos del Arte""",Paysandú,1954-04-04,434.49,49.3,10.125
793,Milonga,,"Canto, Guitarra","en la coral ""Amigos del Arte""",Paysandú,1954-04-04,435.0,49.067,19.876
794,Vals,,"Canto, Guitarra","en la coral ""Amigos del Arte""",Paysandú,1954-04-04,433.74,49.067,14.675
795,Vals,"""Loca de amor""",Guitarra,"en ""El Mejillón""",Las Flores,1954-04-13,444.91,49.667,30.725
796,Polca,,Guitarra,"en ""El Mejillón""",Las Flores,1954-04-13,446.19,49.6,23.004
797,Milonga,,Guitarra,"en ""El Mejillón""",Las Flores,1954-04-13,444.39,49.667,11.716
798,Mazurca,"""La Porteña""",Guitarra,"en ""El Mejillón""",Las Flores,1954-04-13,442.09,49.6,13.641
799,Estilo,,Guitarra,"en ""El Mejillón""",Las Flores,1954-04-13,440.05,49.567,20.971
800,Cifra,,"Canto, Guitarra","en ""El Mejillón""",Las Flores,1954-04-13,455.57,50.967,15.69
801,Estilo,,"Canto, Guitarra","en ""El Mejillón""",Las Flores,1954-04-16,453.99,50.633,32.107
802,Milonga,,"Canto, Guitarra","en ""El Mejillón""",Las Flores,1954-04-16,450.08,50.367,15.708
803,Canción criolla,"""Aprisionado""","Canto, Guitarra","en ""El Mejillón""",Las Flores,1954-04-16,446.19,50.0,13.788
804,Estilo,,"Canto, Guitarra","en ""El Mejillón""",Las Flores,1954-04-16,445.68,50.1,10.215
805,Estilo,,"Canto, Guitarra","en ""El Mejillón""",Las Flores,1954-04-16,444.91,49.7,9.488
806,Vals,,"Canto, Guitarra",en el chalet de Amanda Pérez,Playa Verde,1954-04-17,445.93,49.833,14.261
807,Milonga,,"Canto, Guitarra",en casa de Amanda Pérez,Playa Verde,1954-04-17,439.03,49.367,11.801
808,Estilo,,"Canto, Guitarra",en casa de Amanda Pérez,Playa Verde,1954-04-17,441.07,49.3,12.915
809,Estilo,,"Canto, Guitarra",en casa de Amanda Pérez,Playa Verde,1954-04-17,441.58,49.367,13.267
810,Estilo,,"Canto, Guitarra",en casa de Amanda Pérez,Playa Verde,1954-04-17,440.56,49.433,10.853
811,Cifra,,"Canto, Guitarra",en casa de Amanda Pérez,Playa Verde,1954-04-17,442.34,49.367,7.958
812,Milonga,,"Canto, Guitarra",en casa de Amanda Pérez,Playa Verde,1954-04-17,442.34,49.2,7.723
813,Vals,"""Mala suerte""","Canto, Guitarra",Club Social de Rocha,Rocha,1954-06-26,466.76,52.233,6.636
814,Cifra,,"Canto, Guitarra",en el Club Social de Rocha,Rocha,1954-06-26,457.41,51.3,8.561
815,Estilo,"""A mi guitarra""","Canto, Guitarra",en el Club Social de Rocha,Rocha,1954-06-26,457.41,50.9,9.496
816,Milonga,,"Canto, Guitarra",en el Club Social de Rocha,Rocha,1954-06-26,453.47,50.7,7.993
817,Milonga,,"Canto, Guitarra",en casa de Santiago Dossetti,Minas,1954-09-04,453.47,51.267,12.919
818,Canción,"""Un sueño""","Canto, Guitarra",en casa de Santiago Dossetti,Minas,1954-09-04,458.47,50.667,13.254
819,Estilo,"""Memorias a Artigas""","Canto, Guitarra",en casa de Santiago Dossetti,Minas,1954-09-04,446.19,50.333,19.391
820,Estilo,"""Mi destino""","Canto, Guitarra",en casa de Santiago Dossetti,Minas,1954-09-04,439.29,50.067,11.46
821,Milonga,,"Canto, Guitarra",en casa de Santiago Dossetti,Minas,1954-09-04,437.77,49.8,9.938
822,Cifra,,"Canto, Guitarra",en casa de Santiago Dossetti,Minas,1954-09-04,430.0,49.433,5.034
832,Polca,,Acordeón,en casa de Santiago Dossetti,Minas,1954-09-05,448.26,49.433,6.589
833,Polca,,Acordeón,en casa de Santiago Dossetti,Minas,1954-09-05,445.42,49.367,5.688
834,Chotis figurita,,Acordeón,en casa de Santiago Dossetti,Minas,1954-09-05,445.42,49.3,13.09
835,Chotis,,Acordeón,en casa de Santiago Dossetti,Minas,1954-09-05,444.91,49.3,13.235
836,Ranchera,,Acordeón,en casa de Santiago Dossetti,Minas,1954-09-05,441.45,49.333,9.684
837,Vals,,Acordeón,en casa de Santiago Dossetti,Minas,1954-09-05,443.37,49.333,14.019
